,Open,High,Low,Close,Date,Volume
327,0.006242,0.006713,0.006165,0.006454,2017-01-10 18:00:00,3469780.0
328,0.006488,0.006845,0.006488,0.006791,2017-01-14 18:00:00,777000.0
329,0.00677,0.007022,0.006763,0.007022,2017-01-18 18:00:00,775208.0
330,0.006689,0.006708,0.006689,0.006696,2017-01-22 18:00:00,302306.0
331,0.006565,0.006674,0.0064,0.0064,2017-01-26 18:00:00,942663.0
332,0.006349,0.006398,0.006336,0.006336,2017-01-30 18:00:00,651837.0
333,0.006492,0.006501,0.006467,0.006501,2017-02-02 18:00:00,545416.0
334,0.00648,0.00648,0.006445,0.006477,2017-02-06 18:00:00,563802.0
335,0.006428,0.006428,0.006298,0.006345,2017-02-10 18:00:00,336845.0
336,0.006279,0.006281,0.006102,0.006102,2017-02-14 18:00:00,797576.0
337,0.006043,0.006043,0.005565,0.005874,2017-02-18 18:00:00,900571.0
338,0.005777,0.005777,0.005777,0.005777,2017-02-22 18:00:00,795100.0
339,0.005701,0.005701,0.005613,0.005613,2017-02-26 18:00:00,644643.0
340,0.005541,0.006311,0.005376,0.006311,2017-02-27 18:00:00,1681180.0
341,0.006326,0.006577,0.006067,0.006577,2017-03-06 18:00:00,2800310.0
342,0.00649,0.006534,0.006227,0.006244,2017-03-10 18:00:00,1863970.0
343,0.006243,0.006391,0.006243,0.006312,2017-03-14 18:00:00,1398830.0
344,0.006236,0.006928,0.00613,0.006928,2017-03-18 18:00:00,4352960.0
345,0.007018,0.009612,0.006914,0.009612,2017-03-22 18:00:00,10951600.0
346,0.010743,0.010743,0.009137,0.009435,2017-03-26 18:00:00,6256690.0
347,0.009529,0.020394,0.009529,0.020394,2017-03-30 18:00:00,72586500.0
348,0.022594,0.054541,0.022594,0.033204,2017-04-02 18:00:00,160729000.0
349,0.037085,0.037085,0.032284,0.036571,2017-04-06 18:00:00,36852000.0
350,0.035784,0.035784,0.033199,0.033199,2017-04-10 18:00:00,11294500.0
351,0.034151,0.034256,0.033867,0.034001,2017-04-14 18:00:00,4948530.0
352,0.033424,0.033701,0.029687,0.029687,2017-04-18 18:00:00,12164300.0
353,0.029851,0.032739,0.029851,0.031088,2017-04-22 18:00:00,4948700.0
354,0.03139,0.034555,0.03139,0.034555,2017-04-26 18:00:00,16184200.0
355,0.044695,0.055114,0.044695,0.051487,2017-04-29 18:00:00,44624600.0
356,0.053275,0.060929,0.053275,0.060929,2017-05-02 18:00:00,40572500.0
357,0.080567,0.137873,0.080567,0.137873,2017-05-06 18:00:00,246048000.0
358,0.201431,0.201431,0.160441,0.182093,2017-05-10 18:00:00,104818000.0
359,0.204731,0.261789,0.204731,0.261789,2017-05-14 18:00:00,214068000.0
360,0.339733,0.405379,0.339733,0.341917,2017-05-18 18:00:00,219898000.0
361,0.353756,0.353756,0.316974,0.332185,2017-05-22 18:00:00,165972000.0
362,0.303762,0.303762,0.213315,0.213315,2017-05-26 18:00:00,254920000.0
363,0.231631,0.247677,0.205543,0.247677,2017-05-30 18:00:00,158351000.0
364,0.333491,0.333491,0.282311,0.282311,2017-06-02 18:00:00,152004000.0
365,0.297987,0.297987,0.282413,0.282413,2017-06-06 18:00:00,146362000.0
366,0.289515,0.289515,0.261162,0.272619,2017-06-10 18:00:00,116329000.0
367,0.254826,0.277881,0.254826,0.258172,2017-06-14 18:00:00,190970000.0
368,0.262451,0.290239,0.262451,0.290239,2017-06-18 18:00:00,144326000.0
